aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
19780101000019I,01-JAN-78,WAHPETON,ND,BRECKENRIDGE,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-182,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,2691Q,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,245,136,0,0
19780101000029I,01-JAN-78,FAIRBANKS,AK,FAIRBANKS INTL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),PIPER,PA-18,PA-18-150,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,4073E,0,0,NULL,NULL,NULL,1,STUDENT,200,2,0,0
19780101000039I,01-JAN-78,BRUNSWICK,GA,JEKYLL ISLAND,INCIDENT,NULL,NORMAL CRUISE,BEECH,BE-35,BE-35-B35,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,7929D,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,NULL,0,0,0
19780101000049I,01-JAN-78,CARLSBAD,CA,MC CLELLAN-PALOMAR,INCIDENT,MINOR,LEVEL OFF TOUCHDOWN,CESSNA,CE-310,CE-310-L,NULL,PERSONAL,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,2250F,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2000,400,0,0
19780101000059I,01-JAN-78,TROUTDALE,OR,TROUTDALE MUNI,INCIDENT,MINOR,"GROUND TAXI, OTHER AIRPLANE",CESSNA,CE-172,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,738FD,0,0,NULL,NULL,NULL,1,COMMERCIAL PILOT,300,130,0,0
19780101000069I,01-JAN-78,HONOLULU,HI,HONOLULU INTL,INCIDENT,NULL,NORMAL CRUISE,BOEING,747,NULL,PAN AMERICAN WORLD AIRWAYS INC,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,743PA,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,NULL,0,0,0
19780101000079I,01-JAN-78,HARRISBURG,PA,HARRISBURG INTL,INCIDENT,NULL,NORMAL CRUISE,MCDONNELL-DOUGLAS-BOEING,DC-9,NULL,TRANS WORLD AIRLINES,SCHEDULED AIR CARRIER,AIR CARRIER/COMMERCIAL,INSTRUMENT FLIGHT RULES,1059 ,0,0,NULL,NULL,NULL,2,AIRLINE TRANSPORT,NULL,0,0,0
19780101000089I,01-JAN-78,LAFAYETTE,IN,PURDUE UNIVERSITY,INCIDENT,NULL,NORMAL CRUISE,PIPER,PA-31,PA-31-350,NULL,OTHER,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,27196,0,0,NULL,NULL,NULL,2,COMMERCIAL PILOT,2700,75,0,0
19780101000099I,01-JAN-78,ANCHORAGE,AK,TED STEVENS ANCHORAGE INTL,INCIDENT,NULL,DESCENT,CESSNA,CE-150,NULL,NULL,PERSONAL,GENERAL OPERATING RULES,NONE,60938,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,450,430,0,0
19780102000339I,02-JAN-78,CRYSTAL RIVER,FL,NULL,INCIDENT,MINOR,ROLL-OUT (FIXED WING),CESSNA,CE-172,NULL,NULL,BUSINESS,GENERAL OPERATING RULES,VISUAL FLIGHT RULES,734HT,0,0,NULL,NULL,NULL,1,PRIVATE PILOT,90,45,0,0
