aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20100101025829I,01-JAN-10,HAILEY,ID,FRIEDMAN MEMORIAL,INCIDENT,MINOR,TAXI,CESSNA,CITATION 550 II,ULTRA,NULL,NULL,GENERAL OPERATING RULES,NULL,303CP,0,0,P&W CA,JT15D 5 SER  ,NULL,2,AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR,9208,376,NULL,NULL
20100101030559I,01-JAN-10,ROLLING FORK,MS,NICK'S FLYING SERVICE INC,INCIDENT,MINOR,TAXI,BEECH,BE-58,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,3840X,0,0,CONT M,IO 520 SERIES,NULL,2,COMMERCIAL PILOT,0,0,NULL,NULL
20100102025619I,02-JAN-10,FENTRESS,TX,FENTRESS AIRPARK,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,CESSNA,CE-208,NULL,NULL,NULL,PARACHUTE JUMPING,NULL,208KM,0,1,P&W CA,PT6A-114     ,NULL,1,NULL,0,0,NULL,NULL
20100102026249I,02-JAN-10,TORRANCE,CA,ZAMPERINI FIELD,INCIDENT,SUBSTANTIAL,LANDING: TOUCHDOWN,PIPER,PA-34,PA-34-200T,NULL,NULL,GENERAL OPERATING RULES,NULL,44730,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL
20100102026319I,02-JAN-10,RAMONA,CA,RAMONA,INCIDENT,MINOR,LANDING: ROLLOUT,NULL,NULL,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,951EU,0,0,NULL,NULL,NULL,NULL,PRIVATE PILOT,430,1,NULL,NULL
20100103006039I,03-JAN-10,NULL,NULL,NULL,INCIDENT,NONE,LANDING: APPROACH,PIAGIO,P-180,NULL,AVANTAIR INC,NULL,GENERAL OPERATING RULES,NULL,172SL,0,0,P&W CA,PT6A-66B     ,NULL,2,NULL,0,0,NULL,NULL
20100103025589I,03-JAN-10,NULL,GA,CAMERON FIELD,INCIDENT,MINOR,LANDING: ROLLOUT,GLASAIR,GLASAIR-SH2,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,360RG,0,0,LYCOMI,O&VO-360 SER ,NULL,NULL,PRIVATE PILOT,1294,153,NULL,NULL
20100103025599I,03-JAN-10,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CANADAIR-BOMBARDIER,CHALLENGER,600,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,752EV,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL
20100103025669I,03-JAN-10,HILLSBORO,OR,PORTLAND-HILLSBORO,INCIDENT,MINOR,TAKEOFF: CLIMB OUT,LEARJET-BOMBARDIER,LEARJET 36,NULL,PREMIER JETS INC,NULL,AIR TAXI/COMMUTER,NULL,361PJ,0,0,GARRET,TFE 731 SER  ,NULL,NULL,AIRLINE TRANSPORT,16200,1205,NULL,NULL
20100103025679I,03-JAN-10,SCAPPOOSE,OR,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,AERONCA,AR-7,AR-7-AC,NULL,NULL,GENERAL OPERATING RULES,NULL,857AC,0,0,LYCOMI,0-235 SERIES ,NULL,1,COMMERCIAL PILOT,1500,250,NULL,NULL
20100104025659I,04-JAN-10,CHICAGO,IL,CHICAGO O'HARE INTL,INCIDENT,MINOR,GROUND-RAMP,BOEING,747,NULL,KLM ROYAL DUTCH AIRLINES,NULL,FOREIGN AIR CARRIER,NULL,NONE ,0,0,NULL,NULL,NULL,NULL,AIRLINE TRANSPORT,NULL,NULL,NULL,NULL
20100104025749I,04-JAN-10,SAN JUAN,PR,NULL,INCIDENT,NONE,GROUND-RAMP,DE HAVILLAND-BOMBARDIER,DHC-6 TWIN OTTER,NULL,SEABORNE VIRGIN ISLAND INC,NULL,AIR CARRIER/COMMERCIAL,NULL,189GC,0,0,PT-6  ,A            ,-27   ,NULL,AIRLINE TRANSPORT,15000,1600,NULL,NULL
20100104026139I,04-JAN-10,ATLANTA,GA,HARTSFIELD - JACKSON ATLANTA INTL,INCIDENT,NONE,TAKEOFF: CLIMB OUT,CANADAIR-BOMBARDIER,CHALLENGER,600,ATLANTIC SOUTHEAST AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,854AS,0,0,GE    ,CF34 SERIES  ,NULL,NULL,NULL,0,0,NULL,NULL
20100104042759I,04-JAN-10,MERIDIANVILLE,AL,MADISON COUNTY EXECUTIVE/TOM SHARP JR FLD,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-76,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,5149M,0,0,LYCOMI,I0-360       ,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,1162,46,NULL,NULL
20100105025639I,05-JAN-10,HAYS,KS,HAYS RGNL,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-340,CE-340-A,CROTTS AIRCRAFT SERVICE INC,NULL,GENERAL OPERATING RULES,NULL,500CT,0,0,CONT M,TSIO-520 SER ,NULL,2,COMMERCIAL PILOT FLIGHT INSTRUCTOR,2728,1061,NULL,NULL
20100105025839I,05-JAN-10,PHOENIX,AZ,PHOENIX SKY HARBOR INTL,INCIDENT,MINOR,LANDING: ROLLOUT,BEECH,BE-95,BE-95-B95,NULL,NULL,GENERAL OPERATING RULES,NULL,7621N,0,0,TELEDY,I0-470-L-23  ,NULL,NULL,AIRLINE TRANSPORT,13500,2200,NULL,NULL
20100105026749I,05-JAN-10,PAHOKEE,FL,PALM BEACH CO GLADES,INCIDENT,MINOR,LANDING: ROLLOUT,CESSNA,CE-172,CE-172-P,DELTA CONNECTION,NULL,PILOT SCHOOLS,NULL,62405,0,0,LYCOMI,0-320 SERIES ,NULL,1,COMMERCIAL PILOT,280,23,NULL,NULL
20100106025739I,06-JAN-10,POUGHKEEPSIE,NY,DUTCHESS COUNTY,INCIDENT,MINOR,LANDING: ROLLOUT,LANCAIR,LC-4,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,4SX  ,0,0,CONT M,TSIO-550-E   ,E3B   ,NULL,COMMERCIAL PILOT,1944,339,NULL,NULL
20100106025819I,06-JAN-10,GLENCOE,MN,NULL,INCIDENT,NONE,DESCENT,MOONEY,M-20,M-20-J,THUNDERBIRD AVIATION INC,NULL,GENERAL OPERATING RULES,NULL,57651,0,0,LYCOMI,AEIO-360 SER ,IO-360,1,NULL,0,0,NULL,NULL
20100106025859I,06-JAN-10,FRESNO,CA,FRESNO YOSEMITE INTL,INCIDENT,MINOR,LANDING: ROLLOUT,PIPER,PA-18,PA-18-A,FEDERICO HELICOPTERS INC,NULL,GENERAL OPERATING RULES,NULL,3374B,0,0,LYCOMI,0-290 SERIES ,NULL,NULL,AIRLINE TRANSPORT,26000,250,NULL,NULL
20100106026009I,06-JAN-10,PHOENIX,AZ,PHOENIX DEER VALLEY,INCIDENT,MINOR,TAKEOFF: DEPARTURE,PIPER,PA-12,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,2949M,0,0,LYCOMI,0-290 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,6390,150,NULL,NULL
20100108025789I,08-JAN-10,NULL,MA,GENERAL EDWARD LAWRENCE LOGAN INTL,INCIDENT,NONE,TAKEOFF: DEPARTURE,EMBRAER,ERJ-145,LR,CHAUTAUQUA AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,573RP,0,0,ROLLS-,AE 3007A1P   ,NULL,NULL,NULL,0,0,NULL,NULL
20100109025759I,09-JAN-10,HARLINGEN,TX,VALLEY INTL,INCIDENT,MINOR,LANDING: ROLLOUT,LANCAIR,LC-4,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,381TS,0,0,AMA/EX,UNKNOWN ENG  ,NULL,NULL,PRIVATE PILOT,1600,70,NULL,NULL
20100109025949I,09-JAN-10,CHINO,CA,CHINO,INCIDENT,SUBSTANTIAL,LANDING: TOUCHDOWN,CESSNA,CE-310,CE-310-H,NULL,NULL,GENERAL OPERATING RULES,NULL,1083Q,0,0,CONT M,I0-470 SERIES,NULL,2,AIRLINE TRANSPORT,13000,350,NULL,NULL
20100110025729I,10-JAN-10,RENO,NV,RENO/TAHOE INTL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,AIRBUS,A320,200,DELTA AIR LINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,369NW,0,0,CFM IN,CFM56 SERIES ,NULL,NULL,AIRLINE TRANSPORT,0,0,NULL,NULL
20100110025769I,10-JAN-10,NEWARK,NJ,NEWARK LIBERTY INTL,INCIDENT,MINOR,LANDING: TOUCHDOWN,AIRBUS,A319,131,UNITED AIR LINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,816UA,0,3,IAE   ,V2500SERIES  ,NULL,NULL,AIRLINE TRANSPORT,9842,915,NULL,NULL
